x,y,z,vx,vy,vz,rho,press,tipo,mass
5.87574267 , 24.47368463 , 0.00000000 , -0.20998038 , -0.17623957 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.74814300 , 26.10974768 , 0.00000000 , -0.96100098 , -0.43373092 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.82625596 , 25.53302854 , 0.00000000 , 0.00525367 , -1.25325031 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.77469345 , 27.13769887 , 0.00000000 , -0.12936473 , 0.08075629 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.87491426 , 26.52862754 , 0.00000000 , -0.45577406 , -0.34849707 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.18586149 , 28.04076695 , 0.00000000 , -0.31223557 , 0.19151331 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.84672206 , 27.48458191 , 0.00000000 , -0.16294885 , -0.01612852 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.28340425 , 28.99551089 , 0.00000000 , -0.40691957 , -0.12597387 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.23854954 , 28.31138189 , 0.00000000 , -0.12537828 , -0.65320799 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.71517703 , 29.81875902 , 0.00000000 , -0.29277574 , 0.13239161 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.95400638 , 29.28179537 , 0.00000000 , 0.44586119 , -0.26285153 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
7.21671267 , 30.72756056 , 0.00000000 , 0.05571378 , 1.24478526 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
5.89835836 , 30.42237127 , 0.00000000 , 0.47244502 , 1.22705250 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.97410917 , 32.58880079 , 0.00000000 , 0.33326612 , 0.36233686 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
6.62288070 , 31.57043395 , 0.00000000 , -0.43503236 , 0.91011099 , 0.00000000 , 0.00000000 , 0.00000000 , 1, 1.00000000 
